author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity,bleu_score
Петре М. Андреевски,ПЕТТО ПИСМО,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на вековите,
тука животот тихо го шепне
мистите на стариот говор.

Тука каде што тихо текува реката,
а лисјата сонуваат на ветрови,
тука се родени мечите на спомените,
и срцата се ослободуваат од болка.

Во овие рамнини каде што сончевиот свет
се осмелува да ги осветли темнините,
тука се родени сонови од злато,
и ветровите носат ветини од надеж.

Тука каде што ѕвездите се родени
и тихо ги шепат легендите на ноќта,
тука се родени душевите на борците,
и тихо се пее песна за нивната слава.

Во долината на мечите, каде што животот
е исполнет со мистерии и ветрови,
тука се родени сонови од вековите,
и срцата се осмелуваат да сонуваат.",342,374,716,2922,27.20878028869629,0.0014882300851730209
Петре М. Андреевски,1903,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на вековите,
тука животот тихо го шепне
мистите на стариот говор.

Тука каде што тихо текува реката,
а лисјата пливаат на водата,
тука стои стариот бор,
сведок на минатата и денешната глава.

Мечите на предците тука лежат,
исечени од судбината,
но нивниот дух никогаш не ќе умре,
тука во срцето на секој што го чека.

Во овие рамнини каде што сонце рано се крева,
и ѕвездите вечерно се спуштаат,
тука се родени надежта и љубовта,
и тие вечно ќе трае.

Тука каде што ветерот шепоти
и земјата тихо го зема својот дел,
тука сме ние, деца на долината,
и ние ќе продолжиме нивната приказна.",342,362,704,2675,38.25120162963867,0.001996480124655897
Петре М. Андреевски,ПРВО ПИСМО,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде што сонце зорува,
мечите сонуваат, тихо, во тишината.
Зелени листови, ветрови што шепат,
и тихо говорат за легенди стари.

Тука, каде што водите се чисто,
и ѕвездите патуваат преку ноќта,
мечите лежат, исчезнати во мислата,
но нивната слава никогаш не вене.

Во овие земји, каде што ветровите пејат,
и дрвјата го чуват тајните на минатото,
мечите се дел од сонце и месечина,
и сè уште животи се исполнуваат со нивна моќ.

Тука, во долина на сончеви зраци,
мечите чекаат, под сенката на дрвјата,
нивната легенда живо е во секој здив,
и во секое сонце што зорува на нов ден.",342,332,674,2412,38.32646942138672,0.004360646613345332
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,,Песна за Ќола и неговото сонце,"Песна за Ќола и неговото сонце

Ќола стои под дрвото, листот му лебне на прсти,
Ветерот тихо шепоти, тихо му зборува за ѕвезди.
Сонцето сјаи гордо, го гледа Ќола со очила,
Секој ден нови мисли, секој ден нова смила.

Ќола сонува, сонува за далечи земји,
Каде што морето плива, а рибите се смеат на небо.
Сонцето му го грее лицето, му дава силни мисли,
Секој ден нови перспективи, секој ден нови висини.

Ќола стои, стои тихо, под небото што му се шири,
Сонцето му го грее душата, му дава смелост да го испише својот пат.
Ветерот тихо шепоти, тихо му зборува за ѕвезди,
Сонцето сјаи гордо, го гледа Ќола со очила.

Ќола сонува, сонува за далечи земји,
Каде што морето плива, а рибите се смеат на небо.
Сонцето му го грее лицето, му дава силни мисли,
Секој ден нови перспективи, секој ден нови висини.",342,449,791,2826,8.419915199279785,0.0016135225155783559
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,,Песна за Ќоло и неговото сонце,"Песна за Ќоло и неговото сонце

Ќоло седнал на ридскиот врв, 
гледајќи го сонце што го осветлува денот.
Тој мисли на стари приказни, 
и на денови кога ветрот ги шепа листовите.

Сонцето злато блиску му се близу,
му нуди топлина, мир и сон.
Ќоло го гледа како големо око,
кое го гледа сè, дури и неговото душе.

„Знам ти си сонце, големо и силно,
но ти си и мирен пријател,
кој со својата светлина,
ми дава сила и смелост за нови патишта.”

Сонцето тихо го слуша,
и со златни зраци го благословува,
Ќоло се чувствува полн со надеж,
и со светлината на денот, решава да оди напред.

„Сонце, ти си мој вечен пријател,
кој со својата светлина,
ми го осветлува патот,
и ми дава сила да се борам за светлината.”

И така, Ќоло го благодарува сонцето,
и со светлината во срцето,
продолжува на својот пат,
спремен да го сретне следниот ден.",342,440,782,2996,23.35543632507324,0.002678487689158805
Петре М. Андреевски,УМИЛКУВАЊЕ,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите тихо и бавно,
тука животот тихо го шепа
срцето на земјата, мирно и вечно.

Тука каде што реката тихо тече,
и лисјата сончеви зраци ги чека,
тука животот тихо го шепа
срцето на земјата, мирно и вечно.

Долина на мечите, тихо и сончево,
каде што ветровите тихо шепаат,
тука животот тихо го шепа
срцето на земјата, мирно и вечно.

Во овие рамнини каде што сончевиот свет
се плете со ветровите тихо и бавно,
тука животот тихо го шепа
срцето на земјата, мирно и вечно.

Долина на мечите, тихо и сончево,
каде што ветровите тихо шепаат,
тука животот тихо го шепа
срцето на земјата, мирно и вечно.",342,382,724,2190,5.803930759429932,0.0015859323942634302
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на вековите,
тука животот тихо го шепне
мистите на стариот говор.

Тука каде што тихо текува реката,
а лисјата сонуваат на ветрови,
тука стои стариот бор,
со кората исполнета со спомени.

Мечите на предците, исечени од ѕвездениот ветер,
сега лежат во земјата,
но нивниот дух никогаш не ќе заспие,
тука во долина на тишината.

Во овие граници, каде што се слуша
песната на ветрот и тишината на земјата,
тука се родени сонови,
и тука се родени ѕвезди.

Тука каде што сончевиот зрак
се плете со ветровите на вековите,
тука животот тихо го шепне
мистите на стариот говор.",342,343,685,2546,23.500568389892575,0.001245396810867306
Петре М. Андреевски,Наопачно оро,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на тишината,
тука животот тихо го шепа
песната на вековите, долгите и силни.

Тука каде што лисјата зборуваат
со ветерот, а водите пејат
песна стара, полна со мигли,
и тихо сонуваат тие мечите.

Секој камен е споменик на минатото,
секоја ливада е сон на идната,
а ѕвездите над нас тихо го гледаат
срцето на долината, полн со љубов.

Тука каде што тихоста е говор,
а ветерот е гласа на вековите,
тука се родуваат најчистите песни,
и срцето на човекот се отпева.

Песна за долината на мечите,
каде што секој здив е спомен,
и секоја тишина е сон,
најдлабокиот дел од нашата душа.",342,351,693,2738,29.577547073364254,0.0021774759259251763
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на вековите,
тука животот тихо го шепне
мистите на старите легенди.

Тука каде што земјата е полна со спомени
и камените ѕидини чекаат
да ги испричаат своите приказни
на секој што ќе ги слуша со срце.

Мечите на праишките херои
се уште сонуваат во сенките на вечерите,
а нивните души се разлетуваат
во ветровите на тишината.

Тука, каде што реката тече мирно
и лисјата паѓаат со благослов,
срцето на долината пука
под сенката на вековите.

И ти, кој тука ќе помине,
не заборавај да ги чувствуваш
тие длабоки спомени
во секој камен, во секое лисје.

Затоа, овде во Долината на Мечите,
животот е песна,
и секој ден е ново стихотворение
во книгата на вековите.",342,384,726,2832,34.26971435546875,0.0019532905784058504
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на вековите,
тука животот тихо го шепне
мистите на стариот говор.

Тука каде што тихо текува реката,
а лисјата сонуваат на ветрови,
тука се родени мечите на спомените,
и срцата се ослободуваат од болка.

Во овие рамнини каде што сончевиот свет
се осмелува да ги осветли темнините,
тука се родени сонови од злато,
и светлината на надежта не губи сила.

Од далечнината се чуват звукови на стари песни,
и срцето го шепа ритамот на времето,
тука се родени миговите на вечноста,
и секој ден е ново раѓање во сон.

Во долината на мечите, каде што животот е песна,
и секој чекор е ново откритие,
тука се родени миговите на вечноста,
и срцето го шепа ритамот на љубовта.",342,385,727,2732,26.129528045654297,0.004063181858532209
