lemma,lemma_found,distance
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
тргнал,расцеп,0
скопје,охридско езеро,0
делчев,билтен,0
биди,курдистан,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
старо,западномакедонски,0
сите,традиција,0
крви,вигна,0
бидеме,довде,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
една,последователен,0
беше,расцеп,0
моите,аристократија,0
копнежот,трпнеж,0
дните,традиција,0
копнежот,трпнеж,0
дните,традиција,0
копнежот,трпнеж,0
дните,традиција,0
копнежот,трпнеж,0
дните,традиција,0
копнежот,трпнеж,0
дните,традиција,0
копнежот,трпнеж,0
дните,традиција,0
копнежот,трпнеж,0
дните,традиција,0
копнежот,трпнеж,0
дните,традиција,0
копнежот,трпнеж,0
дните,традиција,0
копнежот,трпнеж,0
дните,традиција,0
копнежот,трпнеж,0
дните,традиција,0
копнежот,трпнеж,0
дните,традиција,0
копнежот,трпнеж,0
дните,традиција,0
копнежот,трпнеж,0
дните,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
боли,хроника,0
денеска,скаска,0
спијам,фландрија,0
сите,традиција,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
ce,фотографски,0
he,фотографски,0
белиот,кралица,0
белиот,кралица,0
белиот,кралица,0
белиот,кралица,0
белиот,кралица,0
белиот,кралица,0
белиот,кралица,0
имаме,допрва,0
спомените,провениенција,0
болно,боровиште,0
сѐ,скоро,0
имаме,допрва,0
спомените,провениенција,0
болно,боровиште,0
сѐ,скоро,0
имаме,допрва,0
спомените,провениенција,0
болно,боровиште,0
сѐ,скоро,0
љубовта,капетанија,0
сѐ,скоро,0
љубовта,капетанија,0
сѐ,скоро,0
љубовта,капетанија,0
сѐ,скоро,0
љубовта,капетанија,0
сѐ,скоро,0
какви,старовина,0
изгубен,подзагубен,0
какви,старовина,0
изгубен,подзагубен,0
какви,старовина,0
изгубен,подзагубен,0
какви,старовина,0
изгубен,подзагубен,0
какви,старовина,0
изгубен,подзагубен,0
какви,старовина,0
изгубен,подзагубен,0
ке,северна ирска,0
