author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity,bleu_score,rouge_1,rouge_2,rouge_l
Петре М. Андреевски,ПЕТТО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Зборови за комуникација
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Оксфордска запирка",Изморени гласови,"Изморени гласови

Одекнуваат. Одекнуваат болно.
Разграбени шепоци, што се губат во ветрот.
Сенки на изморени погледи,
Што дотлеани во минатото тонат.

Немо се плашиме од чекори што не доаѓаат.
Неми сме, погледи во никаде уперени.
Тишина. Тишина што зборува за толку многу -
За болка, за немир, за плачот во сенките.

Дали ќе дојде некој да ги слушне?
Дали ќе дојде некој да ги види?
Глувите гласови ќе молчат ли вечно,
Во самотијата на те-тажните денови.",377,253,630,3166,45.36189651489258,0.0011340162344135,0.0,0.0,0
Петре М. Андреевски,1903,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Просоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Индикатори за моќ
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви",Меморија за седум дена,"Меморија за седум дена

Сред мракот, крици потиснати одекнуваат,
гласови кои менуваат во одраз од вчера.
Во тишината, ехо на душевни болки,
тага што плови во хаос од заборав.

Секој чекор што го правиме,
одзвук од дела што нè следат,
во сенка на минатото, стегнати во немоќ,
судбина што нè зове да ја запамтиме.

Ветрот на гнев ни ги шепоти имињата,
што прогонуваат, што палат, што судат.
Во екот на молкот, бремето на вина,
забрани што ни ги наложува моќ.

Денови се претопуваат во сеќавања,
потонати во бесмисла на сегашноста,
отпорот што ни го одзема животот,
ослободување од вериги што нè лишуваат.",546,312,858,4712,51.07563781738281,0.0083997981134967,0.0,0.0,0
Петре М. Андреевски,ПРВО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Тажна преспа,"Тажна преспа

Црни сенки се спуштаат,
Мракот ме гушка во душата.
Одгласи на болка еха бијат,
Сивите далечини ме гледат.

Времето застанало,
Минатото ме напаѓа.
Недвижен, во замка сам пред себе,
Затрупан од тага без ли'ок.

Звук на тишина оди низ мене,
Виделина што исчезнува во очи.
Застанати мисли ме распарчуваат,
Ноќта што нема крај.",380,204,584,2774,55.579193115234375,0.0009951929258266,0.0,0.0,0
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Зборови за комуникација
Индикатори за моќ
Индикација на сигурност
Увид
Негативна емоција
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи",Заветот на темнината,"Заветот на темнината

Во рамките на далечината,
Ѕидовите на минатото се кријат,
Разговорите во тишината
Небесната светлина ја 'рамнат.

Неизбежно, ноќта ја простира својата сенка,
Во неа се крие моќта на градбите,
Што крај брегот на загубениот спомен стојат,
Чекајќи да ги разобличат енергиите на судбините.

Речиси неприметно, низ шепотот на вековите,
Гласот на одговорноста се крене,
Одекнувајќи во срцата на оние
Што во себе мир и сигурност гледаат.

Тогаш, ослободена од заветот на темнината,
Душата изнурнува на видело,
Се оттргнува од свеста на минатото,
И се отвора кон новото небо.",426,304,730,4588,37.049652099609375,0.001134352855616,0.0,0.0,0
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Индикатори за моќ
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи",Заборавени сенки,"Заборавени сенки

Низ трошни оставени тела, таа ги бира
Фрагменти од минато што и ги дира.
Зјапају, непомични, очи напуштени,
Во сенките од несреќа навек скриени.

Во моќни чекори таа напред врви,
Над смрт и тага, кон селенија нови.
Во нејзиниот поглед, речит и студен,
Се крие сета мака и жал на овој свет.

Но, сенки долги, свиени, ја следат, ја мамат,
Со давен јазик, што сè уште болно вика.
Животот таму, во убави слики, е скриен,
Едноставен и светол, од време одминат.

Таа оди понатака, одбегнувајќи ги
Глувите тела и болки, испомешани
Со мириси на пропаст, со бои потемнети,
Што во длабочини на душата се впиени.",412,325,737,4904,60.25756072998047,0.0005918829560786,0.0,0.0,0
Петре М. Андреевски,УМИЛКУВАЊЕ,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Индикатори за моќ
Говор за постигнување
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со внимание
Зборови поврзани со привлечност
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Сексуална содржина
Зборови фокусирани на сегашноста
Зборови фокусирани на иднината
Зборови поврзани со време
Интерпункциски симболи",Мигови вечни,"Мигови вечни

Моќни зборови се одѕиваат
во срцето што копнее,
допирот на твојата рака
ме води низ бесконечност.

Привлечен сум од твојот поглед,
таен и извонреден,
обземен сум од твојата убавина,
твојата грациозност.

Ти заслужуваш секоја милост,
јас ќе ти ја подарам,
твоите желби се мој приоритет,
ќе се борам да ти угодам.

Во овој момент на сегашноста,
сакам да изградиме иднина,
и да сплетеме нова судбина,
која ќе биде вечна.

Ѕирам во твоите прекрасни очи,
исполнети со внимание и љубов,
и верувам дека ќе најдеме храброст,
за да го парлуваме овој огнен чувств.",485,308,793,4175,28.62233161926269,0.0027051389861787,0.0,0.0,0
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Сè или ништо размислување
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат болест
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Броеви",Огледало на душата,"Огледало на душата

Во отсјајот на убавината,
Фрагмент од реченица што шепоти:
Ти си таа, загубена во времето,
Жена одраз на моите сомневања.

Во долгиот ред на животот,
Збор по збор, тагата се раѓа,
Тежина што ја носиш сама,
Во тишината на таа призма.

Сето или ништо, одгласот што плаче,
Ненадејна болка, ментално коловоз,
Затворени очи, слика што не згаснува,
Миг на вечност, во кој се распаѓам.

Сеќавања од минато, што ме гризат,
Сегашноста бледа, како морничава сенка,
Што ме плаши, што ме остава немоќен,
Во заметот на грешката, во безвременоста.

Зборови без глас, што празнина оставаат,
Симболи на тага, што нè делат,
Броеви на очај, крцкање на душата,
Шепот на ноќта, копнеж неспокоен.",467,367,834,5272,31.20730209350586,0.0021435425590092,0.0,0.0,0
Петре М. Андреевски,Наопачно оро,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови фокусирани на сегашноста
Интерпункциски симболи",Пулсен одек,"Пулсен одек

Откликнува звукот,
Одекува низ тишината.
Сега - пулсирање,
Чекор по чекор; 
Откривање моменти.

Живописни фрагменти
Активно ги внемаруваме,
Слеани со стварноста -
Неразделно споени.

Присутност во сегашноста,
Перцепција на битието;
Симболи што ја разоткриваат
Тајната на постоењето.",278,176,454,2729,46.71244430541992,0.006243702571093,0.0,0.0,0
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со религија
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Ехото на твоите чекори,"Ехото на твоите чекори

Низ шумата на мислите, твоја сенка танцува,
пулсирајќи во мојата душа, како тивок плам.
Ја слушам твојата мелодија, како одглас на срцето,
одекнувајќи во мојата меморија, како повик на самотен час.

Твоите зборови, нежни и грижливи, ми шепотат на уво,
будејќи во мене чувства што со години спиеја.
Твојот поглед, како сончев зрак низ облаци, ме пронаоѓа,
разоткривајќи тага и страв во мојата визија.

Таа нежна игра на нашите погледи, пулсира со напнатост,
додека се обидуваме да ја разбереме љубовта што ни е дадена.
Твојот допир, како мелодија на небеса, ме следи насекаде,
будејќи во мене желби што одамна ги заборавив.

Твојот одглас одекнува низ мојата душа, како спомен на вечност,
испреплетувајќи ја нашата судбина во ритам на бесконечност.
Секоја твоја реч, како врапче нежно, ми носи новост,
разоткривајќи ја вистината што ме следи во секој миг.",453,440,893,6231,18.1101303100586,0.0012902302616808,0.0,0.0,0
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Индикатори за моќ
Говор за постигнување
Индикација на сигурност
Увид
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Зборови кои изразуваат исполнување
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Маќешно дивеење,"Маќешно дивеење

Во маќешната суша, нејзините очи зрачат,
жедни дрвја жудно кон неа се исправаат.
Раскритени се нејзините нежни раце,
допирите ѝ вода, а погледот - мир дава.

Таа сале блика, бои, громогласна е,
незаситна во ликот, душата ѝ пламти.
Неа ја ветува смртта, и крунисува,
неа ја обожава времето, пред неа зазема.

Таа зрачи, ја крие личноста, пропушта форма,
разголет спој на копнеж, минлив е нејзиниот лик.
Во неа се слеани измамата и кристалното,
љубовта и смртта, и мракот и светлината.

Опваѓа младеж, старост опака ја зема, 
празна ли е форма ја исполнува претставата.
Ќе земе живот, но и живот му ќе даде,
оваа вечна постоење, вечно постоење.",501,350,851,4053,46.70890045166016,0.0018905992698175,0.0,0.0,0
