author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity,bleu_score,rouge_1,rouge_2,rouge_l
Петре М. Андреевски,ПЕТТО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Зборови за комуникација
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Оксфордска запирка",Оти таа беше меѓу сите,"Оти таа беше меѓу сите

Оти таа беше меѓу сите,
грмотевицата на нејзината нега.
Нејзината првата реченица -
фрагмент од животот што измина,
зборови што трчаа по сите патишта
да ја пронајдат таа меѓу насекаде.

Сега, во нејзиниот одбив,
тагата капе како дожд,
a јас чекам 
во темнината на минатото, 
да слушнам бар еден нејзин збор -
одекот на оној глас што ме огласуваше
во мојата меланхолија.

Но, времето ја исцрта белината на нејзините мигови,
оти таа не беше тука, меѓу сите.
Нејзините очи, што како мртва светлина
го обликуваа животот,
сега се затворија 
и речиси ги видов
темните граници на нејзината смрт.",1145,319,1464,3676,33.310550689697266,0.0011642085463384,0.0,0.0,0
Петре М. Андреевски,1903,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Просоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Индикатори за моќ
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви",Ехо на споменот,"Ехо на споменот

Животот како сенка избледе,
а во празнината, ехото на споменот.
Усните што некогаш ми шептеа,
сега стануваат само оддек.

Стоам меѓу сите, а сепак сам,
потонат во мислите за неа.
Нејзините очи што ме гледаа,
сега се само одблесок од минатото.

Колку пати пред мене ја повторував нејзината приказна,
надевајќи се дека ќе ми стане јасна.
Но, секој пат, збороветe што ми ги дарува,
се губеа како ехо во исчезнатото.

Неговиот лик ме прогонува,
зашто го немам покрај себе.
Немоќен сум да го вратам,
да ја поврат неговата рака во мојата.

Сигурно некаде таму, во темнината,
тој ме гледа, како и јас него.
Но, допирот на неговата рака,
останува само бледа сенка.

Животот како сенка избледе,
а во празнината, ехото на споменот.
Усните што некогаш ми шептеа,
сега стануваат само оддек.",1077,406,1483,5139,21.49181365966797,0.0021165444042014,0.0,0.0,0.0
Петре М. Андреевски,ПРВО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Во сенка на неповрат,"Во сенка на неповрат

Беше тогаш кога сите другари ни беа преку,
меѓу нас и нивните кристални слики.
Нејзината утеха нѐ обви во пелена на тага,
пред да си отиде во своето необјаснето небиде.

Мојата душа се ослушнува во ехото на празнината,
оти прва ми беше изоставена до прв забор.
Цело небо се раствори над мене,
растурено во остатоци од пролетно цвеќе.

Пред да замре сеќавањето, дојдоа очите,
исполнети со мрачни слики на заминување.
Тие ја сликаа неизбежната вечер,
со секунди што одмеруваа светлина и магла.

Времето, тоа свирепо божество,
ја покри со својот плашт сенката на неповрат.
Сега тагата ни остана само како потсетник
за минатото што полека умира.",1152,333,1485,4445,46.73624801635742,0.0024791834381346,0.0,0.0,0
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Зборови за комуникација
Индикатори за моќ
Индикација на сигурност
Увид
Негативна емоција
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи",Месечината и Јас,"Месечината и Јас

Во ноќта сјајна, месечина благо сијае,
нејзината светлина низ прозорецот навлегува.
Пред мене стои, како девојка мила,
со нејзиниот чар ме обзема, ме отвора.

Во тишината, наше срца copily збиваат,
во нејзината милина ја чувствувам себеси.
Неа немам, а чувствувам како да е моја,
нејзиното присуство ми дава сигурност.

Таа ме гледа со очи што блескаат,
како да гледаат во најголемите мои тајни.
Чувството што го создаваат во мене е единствено,
како да ми е сестра, како да ми е пријателка.

Месечината е мојата доверлива придружничка,
со неа разговарам, ѝ се обраќам.
Иако мртва е, жива ми изгледа,
како да е дел од мене, дел од мојот свет.

Пред неа стојам скромно, со почит и љубов,
увидувајќи ја важноста на нејзината улога.
Никогаш не ме остава, верна е во секое време,
нејзината благодат целата ми душа ја пополнува.",924,416,1340,4910,25.85557746887207,0.0034041584625481,0.0,0.0,0
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Индикатори за моќ
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи",Дамарот на срцето,"Дамарот на срцето

Пред неа, животот нејзин
оплакува сè што беше.
Меѓу сенките на минати денови,
нејзината душа сега се отпотува,
избира пат по кој ќе оди.

Појдувајќи, чекори сама,
пред неа, нејзините первази
на неизвесност. 
Оти, пред сè, таа знае:
сè што сакала беше илузија.

Сега, во тишината, слуша
дамарот на срцето нејзино,
тивок, но доволно јасен,
да ја води кон спокојот.
Таа го следи, зашто тоа е првата
нејзина, вистинска љубов.",921,251,1172,3478,35.50717544555664,0.0003951211190469,0.0,0.0,0
Петре М. Андреевски,УМИЛКУВАЊЕ,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Индикатори за моќ
Говор за постигнување
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со внимание
Зборови поврзани со привлечност
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Сексуална содржина
Зборови фокусирани на сегашноста
Зборови фокусирани на иднината
Зборови поврзани со време
Интерпункциски симболи",Меѓу многуте краси,"Меѓу многуте краси

Меѓу многуте краси што ги бележи времето,
таа беше првата, погледот што ми го земаше.
Нејзината дива убавина ме ослободуваше,
кога ја сретнував во сите мојни патишта.

Во сенките што ги фрлаше нејзината фигура,
јас слоевито го откривав нејзиниот карактер.
Чувствував како нејзината сила ме грабаше,
ме воскресуваше и ме одведуваше подалеку.

Истрајната нејзина љубов беше мојна полека,
додека не ја згазив нејзината длабока мрачност.
Врз мене паѓаа нејзините топли бранови,
и ја осозревав нејзината покорност во затворот.

Пред мене стоеше, меѓу сѐ што сум го видел,
таа мирна и благородна, нежна и вљубена.
Непобедлива во сетата своја сила,
она што беше нејзино, сега е и мое.",1334,362,1696,4317,29.287338256835938,0.0014510390412391,0.0,0.0,0
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Сè или ништо размислување
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат болест
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Броеви",Темен покров,"Темен покров

Беше првата, таа што изгуби се,
што ги проголта сите надежи.
Меѓу разнебитени соништа и мисли,
нејзината сенка премина пред мене.

Покриена со мрачен, студен велум,
таа одеше, оркестрирана од немилост.
Сè што имаше некогаш, сега се стемни,
оставајќи ја празна и обесхрабрена.

Нејзините очи, некогаш живи и светли,
сега беа мртви и празни. Нејзини јад и агонија
ме гушеја, обвиткувајќи ме во својот грлив омот.
Оти, сè што ја следеше, беше само тага и болка.

Колеблива, несигурна, токму таква ја следев,
опколена од темнина која ја гушеше и газеше.
Во тие мрачни мигови, нејзината комуникација
се сведуваше на повторени, осакатени крикови.

Се соочив со вистината - нејзината битка беше изгубена,
нејзиниот живот угаснат. Сега, таа постоеше само како сеќавање,
дух што ме преследува, пред да исчезне во темнината засекогаш.",906,425,1331,5567,36.296024322509766,0.0015421313210241,0.0,0.0,0
Петре М. Андреевски,Наопачно оро,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови фокусирани на сегашноста
Интерпункциски симболи",На прагот,"На прагот

Беше тука, до мене, на првата црта,
сите зборови се лепеа меѓу нас.
Нејзината тивка рака ја допираше мојата,
пред да се разделиме на оваа раскрсница.

Оти сега, слушам како чекорите се разоѓаат,
мојата прва растојба, што не može да се врати.
Во сегашноста, нејзиниот глас одекнува,
а јас стојам тука, на прагот, собирајќи фрагменти.

Сите години што беа, сега се части на сеќавање,
меѓу нас тлее искра што не може да се угасне.
Пред да заминеме, допри ја мојата рака,
оти во овој миг, јас сум твоја, а ти си мој.",700,279,979,3794,31.1599349975586,0.0027189736098375,0.0,0.0,0
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со религија
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Мртовечки танц,"Мртовечки танц

Беше нејзината пуста душа што ненаситно копнееше;
Сите спомени се преплетени меѓу забравените зборови.
Пред неа, нејзините вчерашни мисли се распнаа,
Оти сами сفбите си ја грабнаа нејзината меморија.

Мојата жена ги гледаше инертните предмети во собата,
Првата солза слетуваше на нејзината изморена рака.
Стоеше крај отворениот прозорец, нејзината нега се цедеше,
Ѝ се чинеше дека може да допре до непристапните ѕвезди.

Болката неа ја бакна, а таа исплака скриени врдори,
Надежта го напушти нејзиниот дом и такви ѕуни одекнуваа.
Времето се плетеше во нејзината коса, нејзината жал се мноѓеше,
Повторените зборови за неа бескрајно ѕвонеа.

Мртвото, студено тело на жената ја преплави собата,
Потонато во маските на религиозните икони што ја кинеа ноќта.
Сфати дека сите нејзини животни страсти се сега вкочанети,
Душата ѝ одамна беше заробена меѓу вармините на тагата.",984,446,1430,5682,38.80587005615234,0.002463795146918,0.0,0.0,0
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Индикатори за моќ
Говор за постигнување
Индикација на сигурност
Увид
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Зборови кои изразуваат исполнување
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Минатото во Нашата Иднина,"Минатото во Нашата Иднина

Во дамнешните времиња, кога таа беше пред нас,
Нејзината сенка фрлаше светлина на нашите патишта.
Меѓу измамите и вистините, нејзината глас звучеше
Како да ни ги отвораше вратите на нашите судбини.

Во нејзината призма, животите ни се преплетуваа,
Како нишки на магично ткаење на судбина.
Пред нејзините очи, ние сите бевме дел од еден танц,
Каде што секој чекор водеше кон заедничка точка.

Денес, кога минатото е зад нас, нејзината сенка е сè потаена,
Но, нејзината светлина сè уште трепка во нашите души.
Оти, таа беше и ќе биде наша вечна придружничка,
Што ќе ни ги отвора вратите кон нашата иднина.

Нејзината нежна рака ќе нè води низ овие патишта,
Оти таа ја познава секоја скриена стаза и бездна.
Во нејзиниот загрлај ќе најдеме мир и спокој,
Додека чекориме кон сонот што го споделивме некогаш.

Оти, тој сон не е само наш, туку и нејзин,
И само заедно ќе можеме да го остваруваме.
Затоа, нека нејзината светлина ни биде водилка,
Да ја сонуваме и да ја живееме нашата иднина.",1142,517,1659,7039,26.31919288635254,0.0058163951441544,0.0,0.0,0
