lemma,lemma_found,distance
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
тргнал,угол,0.999335527420044
скопје,спокој,0.6158938407897949
делчев,оверувач,0.9724125862121582
биди,бедствие,0.6715937852859497
тргнал,угол,0.999335527420044
скопје,спокој,0.6158938407897949
делчев,оверувач,0.9724125862121582
биди,бедствие,0.6715937852859497
тргнал,угол,0.999335527420044
скопје,спокој,0.6158938407897949
делчев,оверувач,0.9724125862121582
биди,бедствие,0.6715937852859497
тргнал,угол,0.999335527420044
скопје,спокој,0.6158938407897949
делчев,оверувач,0.9724125862121582
биди,бедствие,0.6715937852859497
тргнал,угол,0.999335527420044
скопје,спокој,0.6158938407897949
делчев,оверувач,0.9724125862121582
биди,бедствие,0.6715937852859497
тргнал,угол,0.999335527420044
скопје,спокој,0.6158938407897949
делчев,оверувач,0.9724125862121582
биди,бедствие,0.6715937852859497
тргнал,угол,0.999335527420044
скопје,спокој,0.6158938407897949
делчев,оверувач,0.9724125862121582
биди,бедствие,0.6715937852859497
тргнал,угол,0.999335527420044
скопје,спокој,0.6158938407897949
делчев,оверувач,0.9724125862121582
