author,song,style_feature_category,extracted_text,time_needed
Петре М. Андреевски,Наопачно оро,Фигуративен јазик,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3593015670776367
Петре М. Андреевски,Наопачно оро,Сарказам,"Сарказам е изразување на спротивното од она што навистина се мисли, со цел иронија или потсмев.",1.6892273426055908
Петре М. Андреевски,Наопачно оро,Фрагмент од реченица,"Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.",2.6922645568847656
Петре М. Андреевски,Наопачно оро,Долга реченица (run-on),"Активен глас – кога подметот ја извршува дејството. На пример, „Јас ја напишав песната за еден час.“",1.8917005062103271
Петре М. Андреевски,Наопачно оро,Активен глас,Активен глас – конструкција во која подметот ја врши дејството (на пр. „Јас го пишувам писмото“).,1.8213272094726562
Петре М. Андреевски,Наопачно оро,Пасивен глас,"Ако е присутна, одговори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.1646106243133545
Петре М. Андреевски,Наопачно оро,Грешки во согласување,"Ако е присутна карактеристиката, одговори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.319795846939087
Петре М. Андреевски,Наопачно оро,Машки заменки,"Асистент одговори со Да или Не. Ако е присутна, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.593047857284546
Петре М. Андреевски,Наопачно оро,Женски заменки,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.716784715652466
Петре М. Андреевски,Наопачно оро,Просоцијално однесување,"Особина: Просоцијално однесување – јазик кој покажува соработка, помош или емпатија.",1.6863398551940918
Петре М. Андреевски,Наопачно оро,Антисоцијално однесување,"Антисоцијално однесување – јазик кој покажува агресија, непочитување или отфрлање на норми.",1.8614530563354492
