author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity
Петре М. Андреевски,ПЕТТО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Зборови за комуникација
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Оксфордска запирка",Век на душа,"Век на душа

Беше нејзината првата,
меѓу сите беше мојата.
Пред неа, оти пред нејзината
уште долго ce.
Мојата душа во тага сонува
за давните денови,
кога времето споро течеше
и секој миг оставаше траги.

Денес слушам зборови
што како птици одлетуваат,
а својот визуелен прозор
го заклучувам од светот.
Оти смрт, само смрт
им беше прва љубов,
и во тие темни денови
ништо не можеше да ја врати.

Сега кога времето бега,
се губам во нејзината сенка,
во нејзината меланхолија
што густа како киша паѓа.
Желбата да ja слушам повторно
го гуши она што едвај живее,
дека сè уште го чувам во мене
тој прв, несреќен век на душа.",892,311,1203,3782,44.85257339477539
Петре М. Андреевски,1903,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Просоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Индикатори за моќ
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви",Мојата прва беше,"Мојата прва беше

Во тишината на ноќта, тој стоеше
Пред нејзината врата, без да знае
Дека нејзината мисла беше
Во бескрајната пустина на неговото срце.

Беше прва меѓу сите, таа
Со нејзината меланхолија и тага,
Што го следеше секогаш како сенка,
Пред него, низ годините што поминаа.

Тој се сеќаваше на нејзините црни очи
Што многукратно му ја отвораа душата,
Допирајќи го длабоко, оти самиот
Беше изгубен во таа прва, нејзината љубов.

Тивок шепот носеше нејзиното име,
Во ноќта што не му даваше мир, ни починка,
Пред неговиот поглед стоеше нејзината слика,
Првата што ја познаваше и љубеше.",1114,317,1431,4125,27.181270599365234
Петре М. Андреевски,ПРВО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Век на спокој,"Век на спокој

Во букетот од меланхолија, каде беше нејзината душа?
Сите боголики заколнаа да и' го скријат неа.
Меѓу листовите што оддалеку паѓаа беше нејзината тага,
Пред да застрашат нејзиниот болен глас.

Оти, првата слика мојата ја прелажа,
Кога нејзината егзистенција ја распрскав нависоко.
Мојата затворена перцепција, што не може да ја издржи
Нејзината секојдневна депресија, што ја испразнува душата.

Застани, тивко, и слушни го нејзиниот ехо,
Што одекнува низ времето што премина.
Погледај како секоја наша минлива тропка
Се распрскува во празнината, што ја оставивме по себе.

Овој век на спокој, што не го избравме,
Ни ја одзеде нашата прва и единствена слика.
Во тиња се претвори сето што беше живо,
Поради нашата тага, што ќе трае вечно.",915,374,1289,4365,26.200801849365234
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Зборови за комуникација
Индикатори за моќ
Индикација на сигурност
Увид
Негативна емоција
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи",Меѓу нејзината болка,"Меѓу нејзината болка

Таа беше првата, пред сите
Што ја носеше мојата тага,
Неа ја викаше, ја сакаше,
Меѓу нејзината болка стоеше.

Беше ли тоа оти ја сакаше?
Беше ли порана од другите?
Не, таа само ја разбираше,
Знаеше оти в срцето ми се крие.

Нејзината нежност ме гушеше,
Нејзината грижа ми даваше сила.
Меѓу сите, само неа ја имаше,
Мојата душа со неа се спои.

Времето лети, но нејзините зборови,
Нејзините погледи дома ме довезуваат.
Оти, таа беше и ќе биде
Мојата прва, меѓу сите.",994,291,1285,3512,14.439295768737793
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Индикатори за моќ
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи",Меѓу Сенките,"Меѓу Сенките

Таа беше првата, меѓу сите нив, 
Нејзината убавина - омамувачки сјај.
Пред нејзиниот блесок, сите останати омркнуваа,
Оти нејзината моќ, немаше нејзина рамна.

Нејзините очи, како темни перли,
Ја обликуваа нејзината нежна душа,
Зборовите што ги изговараше, 
Допираа длабоко во срцето.

Во оваа култура на тага и болка,
Таа беше светлина што ги разведруваше сите,
Нејзината појава, како визија од минатото,
Ја враќаше надежта во сите наши души.

Пред неа, ние сите се клоневе,
Во нејзината убавина, ние се потопивме,
Нејзината слика, ќе остане врежана,
Во нашите сеќавања, какошто минува времето.",937,329,1266,4426,28.76737403869629
Петре М. Андреевски,УМИЛКУВАЊЕ,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Индикатори за моќ
Говор за постигнување
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со внимание
Зборови поврзани со привлечност
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Сексуална содржина
Зборови фокусирани на сегашноста
Зборови фокусирани на иднината
Зборови поврзани со време
Интерпункциски симболи",Неделана песна,"Неделана песна

Неговата душа беше војник,
Изранет во битките, што беа негови,
Но таа, нејзината, беше мека, како ветер,
Што ја милуваше неговата лутина.

Таа стоеше пред него, во своето достоинство,
Сите зборови што ги искажуваше тивки и нежни,
Меѓу нив се создаваше мост на разбирање,
Што надминуваше секоја граница.

Пред неговите очи, таа блескаше како ѕвезда,
Што ги црта патиштата на иднината,
Таа му отвораше нови хоризонти,
Зашто нејзината душа му стана негова мајка.

Од тој ден, тој беше нов човек,
Во нејзината топлина тој бесрамно се увиваше,
Зашто таа му го врати она што го беше изгубил,
Таа му подари живот, ја видливата, неговата.",1014,333,1347,4153,29.220739364624023
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Сè или ништо размислување
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат болест
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Броеви",Речени во тишина,"Речени во тишина

Враќајќи се, се соочи со нејзината
погледот тврд, уморен се разликуваше меѓу сите.
Пред нејзината свесност се примаче,
нејзината мисла го одбена сè.

„Нашата"" првата грешка беше,
оти само мојата вина ја гледаше.
Ја знаеше- 
нејзината душа беше на крај.

Зборовите не ce de престанаа,
пред нејзината несигурност, сите се распрснаа.
Мојата тага, нејзина болка стана,
со само еден поглед, ми се расипа сè.

Тивко, тишината во нејзината свест шепотеше,
во мојата, нејзината тага долго се нишаше.
Времето беше на наша страна, 
но тие го изгубија, сè е сега во мојата рака.

Живеењето во сегашноста стана невозможно,
минатото ни се враќаше, секој збор беше болно.
Умориле једностопанствени денови,
а сè што сакавме беше да им се вратиме.",1010,381,1391,4520,27.164562225341797
Петре М. Андреевски,Наопачно оро,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови фокусирани на сегашноста
Интерпункциски симболи",Нишан на мигот,"Нишан на мигот

Беше нејзината песна меѓу сите,
пред мојата прва да ce роди.
Оти нејзината слушнав прва -
гласот што ce плиска во сегашноста.

Нејзините трепети беа меѓу мене,
уловени во миговите што ce тала.
Пред неа ce кршеа сите зборови,
оставајќи го само нишанот на звукот.

Во тој нишан ce огледува мигот -
дланка што подава чаша полна со сегашност.
Нејзината песна ме напои,
и сега ja пијам во секој здив.",826,222,1048,3253,39.601871490478516
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со религија
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Нејзината наметка,"Нејзината наметка

Таа беше сите мои сетила и помисли,
меѓу мојата кожа и нејзината перница.
Нејзината наметка ме облечуваше во помисли
што тивко ја запаликуваа нејзината фигура.

Пред неа, првата што ми ја покажа,
се чувствував како оти сум затворена во себе.
Мојата душа беше нејзината, нејзината беше мојата,
ништо не можеше да не ги раздели.

Меѓу сенките и светлината, нејзините зборови
беа мелодија што ја пееше мојата меморија.
Во нејзината безгласна тишина,
на сета нејзина убавина ми се восхитував.

Сега, на местото каде што беше нејзиниот изглед,
има само голема празнина од анксиозност и тага.
Мојата визија тјага да ѝ оддаде почит
на нејзината нематеријална привлечност.

Минатото и времето ме фаќаат во своите стега,
принудувајќи ме да се сеќавам на нејзината наметка.
Таа беше сето она што ми е потребно,
но сега, оно што ми недостига.",996,416,1412,4890,19.23832130432129
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Индикатори за моќ
Говор за постигнување
Индикација на сигурност
Увид
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Зборови кои изразуваат исполнување
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Во очите на твоите,"Во очите на твоите

Во нејзината душа, беше
Оти пред сите, најпрва тука
Меѓу мојата возврати ја барем збор
Насмевната сигурност, нејзината светлина --
Гледај во очите на твоите
Што ги кажуваат мислите
Легни крај мене, нема време
Само овие мигови, последни што беа
Да додаваме нови звезди на небото
Нови стебла што ќе растат во темново
Ние што копаме, што ораме
Се надеваме, копнееме
Да земеме, да се исполниме
Во миговите што не можат да застанат.",1027,234,1261,2889,38.24611282348633
